Rank,Canonical SMILES,rbl
1694,CC[C@H]([C@H]1O[C@]2(C=CC[C@@]3(O2)CC[C@@](O3)(C)[C@H]2CC[C@@]([C@@H](O2)C)(CC)O[M])[C@@H](C[C@@H]1C)C)C(=O)[C@H]([C@H]([C@@H]([C@@H]1O[C@H](CC[C@@H]1C)[C@H](C(=O)O)CC)C)O)C,0.052622199
1695,CC([C@H]1COC(=N1)C(C1=CC=C(N1)C(C1=N[C@H](C[O]1[M])C(C)C)(C)C)(C)C)C,0.052578568
1696,CC[C@@H](C(=O)[C@@]([C@@H]1CC[C@@](O1)(CC)[C@H]1CC[C@]([C@@H]([O]1[M])C)(O)[C@H](OC)C)(O)C)[C@@H]([C@H]([C@H]1O[C@H](C/C(=C/2\C(=O)OC(=C)C2=O)/O)[C@@H](C[C@H]1C)C)C)O,0.052577138
1697,[M][O](CCN1C=CC=C1)CCO[B]123[BH]45[BH]673[BH]382[BH]21[C@]19[C@]%104[BH]456[BH]578[BH]321[BH]9%1045,0.052573383
1698,O=Cc1cc(ccc1O)[S@@](=[O][M])(=O)O,0.052573204
1699,[M]OC(=O)c1cccc(n1)CN(Cc1cccc(n1)C(=O)O)CC(=O)O,0.052558601
1700,[M]O[P@@](=O)(c1ccccc1OCCOCCOc1ccccc1P(=O)(O)O)O,0.052547038
1701,CCOc1cccc(c1O)/C=N/CC/N=C/c1cccc(c1O)[O](CC)[M],0.052512825
1702,OC(=O)[C@@H]1C[O]([M])c2c(O1)cccc2,0.052472651
1703,OC/C(=C/CC[P@@](=O)([O]([P](O)(O)O)[M])O)/C,0.05246675
1704,[M]OC(=O)CN1CCN(CCN(CCN(CC1)CC(=O)O)C[c]1ccccn1O)CC(=O)O,0.052460313
1705,COCCO[Si]([SiH]([Si](OCC[O]([M])C)(C)C)[Si](OCCOC)(C)C)(C)C,0.052459896
1706,[M][O]=[S@](=O)(c1ccc2c3c1c(OCCOCCOCCOCCOc1ccc(c4c(OCCOCCOCCOCCO2)ccc(c14)S(=O)(=O)O)S(=O)(=O)O)ccc3S(=O)(=O)O)O,0.05244118
1707,[M]/[O]=C(\N=C\1/N(C=CN1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C)/Nc1ccccc1,0.052439451
1708,CNCCC[C@@]([P@@](=O)(O[M])O)([P](O)(O)O)O,0.052431881
1709,[M][O]=[S@](=O)(c1cc(c(c(c1O)O)O)S(=O)(=O)O)O,0.052415013
1710,[M]/[O]=C(/c1cccc(c1)Nc1nc(Nc2cccc(c2)C(=O)O)nc(n1)Nc1cccc(c1)C(=O)O)\O,0.052404463
1711,[M]OC(=O)c1cc(cc(c1)C1=NC(=NN1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,0.052402437
1712,N[C@H](/C(=[O]/[M])/O)Cc1cc(I)c(c(c1)I)Oc1cc(I)c(c(c1)I)O,0.052388787
1713,O/C(=[O]\[M])/C=C,0.052382827
1714,[M]/[O]=C(/c1cc(cc(c1)/C/1=C/2\C=C/C(=C(\c3ccc(cc3)C(=O)O)/C3=N/C(=C(\C4=CC=C(/C(=C/5\N=C1C=C5)/c1ccc(cc1)C(=O)O)N4)/c1cc(cc(c1)C(=O)O)C(=O)O)/C=C3)/N2)C(=O)O)\O,0.052375019
1715,[M]/[O]=C(/c1ccccc1)\C1=N/C(=C(/c2ccccc2)\O)/N=N1,0.052334845
1716,[M]OS(=O)(=O)c1cc(ccc1/C=C/c1ccc(cc1S(=O)(=O)O)[N](=O)O)N(=O)=O,0.052296162
1717,[M]/[O]=C(/c1cc(cc(c1)C(=O)O)CN1N=C(C=C1C(=O)O)C(=O)O)\O,0.052281022
1718,[M]/[O]=C(\c1ccc(cc1)c1c(C)c(c2ccc(cc2)C(=O)O)c(c(c1C)c1c(C)c(c2ccc(cc2)C(=O)O)c(c(c1C)c1ccc(cc1)C(=O)O)C)C)/O,0.052257478
1719,[M]/[O]=C(\c1ccc(c(c1)C(=O)O)c1ccc(cc1C(=O)O)C(=O)O)/O,0.052242637
1720,[M]OC(=O)c1cccc(c1)C(=O)O,0.052203298
1721,[M]OCCOc1ccccc1OCCOc1ccccc1OCCOc1ccccc1OCc1ccccc1C(=O)O,0.052197397
1722,OCC[C@@]1(CN(CCN(C1)CC(=O)O)C/C(=[O]/[M])/O)N(CC(=O)O)CC(=O)O,0.052168787
1723,[M]O[P@@](=O)([C@@](P(=O)(O)O)(Cc1cccnc1)O)O,0.052160978
1724,[M]OC(=O)C1=CC(=Nc2c1cccc2)c1nc2ccccc2c(c1)C(=O)O,0.052160203
1725,[M]/[O]=C(/C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)\c1c(O)c(F)c(c(c1F)F)F,0.052147627
1726,OC(=O)COc1c2Cc3cc(cc(c3OCC(=O)O)Cc3cc(cc(c3OCC(=O)O)Cc3cc(cc(Cc4c(c(Cc5c(c(Cc1cc(c2)C(C)(C)C)cc(c5)C(C)(C)C)OCC(=O)O)cc(c4)C(C)(C)C)OCC(=O)O)c3[O](CC(=O)O)[M])C(C)(C)C)C(C)(C)C)C(C)(C)C,0.052140057
1727,CO[C@H]1CC[C@@H](O[C@@H]1C)O[C@@H]1C[C@@]2(O[C@]1(C)[C@H]1CC[C@H]([C@]3([O]1[M])O[C@H](C[C@@H]3C)[C@H]1O[C@@](O)(CO)[C@@H](C[C@@H]1C)C)C)C[C@H](O)[C@H]([C@H](O2)[C@H](/C=C(/C(=O)[C@@H](C[C@@H](C(=O)O)C)C)\C)C)C,0.052126706
1728,C[O](CN1C=C(c2c1cccc2)/C=N/c1c(cccc1C(C)C)C(C)C)[M],0.052120686
1729,[M]/[O]=C(\N=C(\N(CC)CC)/S)/COc1ccccc1OCC(=O)/N=C(/N(CC)CC)\S,0.052113771
1730,CO[C@H]1CC[C@@H](O[C@@H]1C)O[C@H]1[C@H](C)[C@H](O[C@@]([C@@H]1C)(O)CO)[C@H]1C[C@@H]([C@]2(O1)O[C@H](CC[C@H]2C)[C@]1(C)CC[C@@]2([O]1[M])C[C@H](O)[C@H]([C@H](O2)[C@H](/C=C(/C(=O)[C@@H](C[C@@H](C(=O)O)C)C)\C)C)C)C,0.052071393
1731,CN(Cc1ccccc1[O]([M])C)CCN(Cc1cc(Cl)cc(c1O)Cl)C,0.05206573
1732,CC1=CC(=NN1CO[M])C,0.052059591
1733,[M]/[O]=C(\c1ccc(cc1)N(c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)/O,0.052042723
1734,[M]OC(=O)c1c(cc(cc1C(=O)O)N(=O)=O)C(=O)O,0.052003682
1735,COc1c2-c3cc(C)cc(c3OC)COc3cccc(c3O)/C=N/c3c(/N=C/c4c(c([O](Cc5c(c(-c1cc(c2)C)cc(C)c5)OC)[M])ccc4)O)cccc3,0.052002132
1736,CCN(C(=O)COc1c2cc(cc1Cc1cc(/N=N/c3ccccc3)cc(c1O)Cc1c(c(Cc3c(c(C2)cc(/N=N/c2ccccc2)c3)O)cc(c1)/N=N/c1ccccc1)[O](CC(=O)N(CC)CC)[M])/N=N/c1ccccc1)CC,0.051990032
1737,[M]OS(=O)(=O)c1cccc2c1cccc2[S](=O)(O)O,0.051978469
1738,[M]/[O]=C(/c1cc(N)c2c(c1)ccc(c2)C(=O)O)\O,0.051925659
1739,[M][O]1Cc2cc(cc(c2O)Cc2cc(cc(c2O)COCc2cc(cc(c2O)Cc2c(c(COCc3c(c(Cc4c(c(C1)cc(c4)C(C)(C)C)O)cc(c3)C(C)(C)C)O)cc(c2)C(C)(C)C)O)C(C)(C)C)C(C)(C)C)C(C)(C)C,0.051920593
1740,CO[C@H]([C@@H]([C@@H]1[C@H](C)[C@@H](O)C[C@@]2([O]1[M])CC[C@@](O2)(C)[C@H]1CC[C@@](O1)(CC)[C@@H]1O[C@H](C[C@@H]1C)[C@H]1O[C@@](O)(COC(=O)Nc2ccccc2)[C@@H](C[C@@H]1C)C)C)[C@@H](C(=O)O)C,0.051910281
1741,[M]/[O]=C/1\C=C(O)NC(=N1)O,0.051906705
1742,CCc1cc(cc(c1N/C(=C/C(=N\c1c(CC)cc(cc1CC)S(=O)(=O)O)/C)/C)CC)S(=O)(=O)O[M],0.051893413
1743,COC1=C[C@H](NC=C1)c1nccc(c1)[O]([M])C,0.051865339
1744,[M]OC(c1ccccc1)(c1ccccc1)CN(Cc1cccc(n1)NCC(C)(C)C)Cc1cccc(n1)NCC(C)(C)C,0.051863611
1745,[M]/[O]=C(/C1=[N](c2c(cccc2C(C)C)C(C)C)C(CC1(CC)CC)(C)C)\O,0.051860332
1746,C[C@H]([C@@H](/C(=[O]\[M])/O)N)O,0.051857948
1747,[M]OC(=O)CN(c1ccc(cc1OCCOC1=CC(=CC=C1N(CC(=O)O)CC(=O)O)F)F)CC(=O)O,0.051849902
1748,[M]OC(=O)C1=CC(=O)C=C(N1)C(=O)O,0.051841319
1749,COc1cccc(c1O)/C=N/CCN(CC/N=C/c1cccc(c1O)[O]([M])C)CC/N=C/c1cccc(c1O)OC,0.051836491
1750,[M]/[O]=C(/C1=C(C)c2ccccc2NS1(=O)=O)\O,0.051804841
1751,[M]OS(=O)(=O)c1cc(cc(c1O)O)C(=O)O,0.051804423
1752,[M]/[O]=C(\C1=C(C)N(N=N1)c1ccc(cc1)I)/O,0.051799655
1753,[M]OC(=O)c1ccc(cc1)Oc1cc(Oc2ccc(cc2)C(=O)O)cc(c1)C(=O)O,0.051776171
1754,COc1cccc(c1O)/C=N/CCCNCCNCCC/N=C/c1cccc(c1O)[O]([M])C,0.051759839
1755,[M]OC(=O)c1c(cccc1C(=O)O)C(=O)O,0.051753581
1756,[M]/[O]=C(\CN1C=C[N](=C1)Cc1c(C)cc(c(c1C)C[N]1=CN(C=C1)CC(=O)O)C)/O,0.051746249
1757,[M]/[O]=C(/COc1ccc(cc1)OCC(=O)O)\O,0.051731884
1758,[M]OC(=O)c1c(C(=O)O)c(cc(c1C(=O)O)C(=O)O)C(=O)O,0.051724315
1759,OC(=O)COc1c2Sc3cc(cc(c3OCC(=O)O)Sc3cc(cc(Sc4c(c(Sc1cc(c2)C(C)(C)C)cc(c4)C(C)(C)C)OCC(=O)O)c3[O](CC(=O)O)[M])C(C)(C)C)C(C)(C)C,0.051720679
1760,[M]/[O]=C(\CCCC(=O)O)/O,0.051700354
1761,[M]O[P@@](=O)(c1ccc(cc1)P(c1ccc(cc1)P(=O)(O)O)c1ccc(cc1)P(=O)(O)O)O,0.05169934
1762,[M]/[O]=C\1/NN=C(c2c1ccc(c2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)NN=C2O)O,0.05166471
1763,[M]/[O]=C(\C1=C(NC(=N1)Cc1cccnc1)C(=O)O)/O,0.051643074
1764,[M]/[O]=C(\[C@@]1(O)OC[C@H]([C@H]([C@@H]1O)O)O)/O,0.051642358
1765,CCO[P@@](=O)(c1ccc(cc1P(c1cc(C)ccc1S(=O)(=O)O)c1ccc(cc1)C(C)(C)C)C)[O](CC)[M],0.051638126
1766,CCC(C(=O)O[M])(C(=O)O)CC,0.051631689
1767,[M]/[O]=C\1/NN=C(c2c1cc(cc2)C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=NNC2=O)O)O,0.051606119
1768,[M]/[O]=C(/C1=C(NC(=N1)C1=NC(=C(N1)C(=O)O)C(=O)O)C(=O)O)\O,0.051569641
1769,O/C(=N\C/C(=[O]/[M])/O)/CC(=O)NCC(=O)O,0.051544487
1770,OCCN(c1ccc(cc1)/N=N/c1ccc(cc1S(=O)(=O)O[M])C)CCO,0.051510692
1771,[M]/[O]=C(/c1cc(cc(c1)/C/1=C/2\C=CC(=N2)/C(=C\2/C=C/C(=C(/C3=N/C(=C(\C4=CC=C1N4)/c1cc(cc(c1)C(=O)O)C(=O)O)/C=C3)\c1cc(cc(c1)C(=O)O)C(=O)O)/N2)/c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O)\O,0.051457167
1772,[M]OC(C(OB[C@H](/C(=N/c1c(C)cc(cc1C)C)/C)/C(=N/c1c(C)cc(cc1C)C)/C)(C)C)(C)C,0.051451921
1773,[M]/[O]=C(/[C@H]1[C@@H](C(=O)Nc2ccc3c(c2)OCO3)[C@H](OC21C(=O)c1c(C2=O)cccc1)c1ccc(c(c1)Cl)Cl)\O,0.051449418
1774,CCO[P@@](=O)([O](CC)[M])CN1c2ccccc2-c2c1cccc2,0.051443756
1775,COc1ccccc1P(c1ccccc1[S@@](=[O][M])(=O)O)c1ccccc1OC,0.051435888
1776,OC[P](CO[M])(O)O,0.051381946
1777,[M]/[O]=C(/c1ccc(c(c1)C(=O)O)c1ccc(cn1)C(=O)O)\O,0.051369727
1778,Oc1ccccc1OCc1cccc(n1)C[O](c1ccccc1O)[M],0.051344514
1779,CC(c1cccc(c1/N=C/c1ccc2c(c1)[O]([M])CO2)C(C)C)C,0.051329315
1780,[M][O]=[S@@](=O)(c1ccc(cc1)/N=N/c1ccc(cc1)NCCC#N)O,0.051300168
1781,[M]/[O]=C(\CP(=O)(O)O)/O,0.051291764
1782,[M]OC(C(F)(F)F)(C(F)(F)F)C[Si](C)(C)C,0.051255643
1783,[M]OC(=O)c1ccc(cc1)c1cccc2c1ccc(c2c1c2cccc(c2ccc1P(=O)(c1ccccc1)c1ccccc1)c1ccc(cc1)C(=O)O)P(=O)(c1ccccc1)c1ccccc1,0.051255286
1784,[M]/[O]=C(\c1c(cccc1C(=O)O)C(=O)O)/O,0.051244676
1785,[M]/[O]=C(/C(C(C(F)(F)F)(F)F)(F)F)\C=C(\C(C(C(F)(F)F)(F)F)(F)F)/O,0.051244617
1786,CO[C@H]([C@@H]([C@H]1O[C@@]2(CC[C@@](O2)(C)[C@H]2CC[C@@](O2)(CC)[C@@H]2O[C@H](C[C@@H]2C)[C@H]2O[C@@](O)(COC(=O)Nc3ccccc3)[C@@H](C[C@@H]2C)C)C[C@@H]([C@H]1C)O[M])C)[C@@H](C(=O)O)C,0.051238179
1787,COC(=O)/C=C/C(=O)O[M],0.05121398
1788,[M]OS(=O)(=O)c1cc(Cl)cc(c1/N=N/c1c(O)c(cc2c1cccc2)C(=O)O)Cl,0.051196754
1789,OCCOCCO[Si]([Si](OCC[O](CCO[Si]([Si](OCCOCCO)(C)C)(C)C)[M])(C)C)(C)C,0.051189601
1790,[M]/[O]=C(/CN(CC(=O)O)CCCN(CC(=O)O)CC(=O)O)\O,0.051173031
1791,[M]/[O]=C/1\C(=COc2c1c(O)c(c(c2)OC)OC)c1ccc(c(c1)S(=O)(=O)O)OC,0.051172912
1792,[M]OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,0.051152527
1793,[M]OC(C(C)(C)C)C(C)(C)C,0.051130652
1794,OC[C@H]1O[C@H](OC)[C@H]([C@H]([C@@H]1O[M])O)O,0.051122904
1795,[M]OC(=O)c1cc(ccc1C(=O)O)Oc1ccc(c(c1)C(=O)O)C(=O)O,0.051110804
1796,[M]OC(=O)c1cc(OCc2ccncc2)cc(c1)OCc1ccncc1,0.051110625
1797,[M]OS(=O)(=O)c1cc2Sc3cc(cc(c3O)Sc3cc(cc(Sc4c(c(Sc(c1)c2O)cc(c4)S(=O)(=O)O)O)c3O)S(=O)(=O)O)S(=O)(=O)O,0.05110389
1798,[M]OC(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)O)c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,0.051102996
1799,[M]OC(=O)CN(CC(=O)O)CCCN(CC(=O)O)CC(=O)O,0.0511024
1800,COc1cc(ccc1[O]([M])C)[C@H](C1=C(O)c2c(OC1=O)cccc2)C1=C(O)c2c(OC1=O)cccc2,0.051092923
1801,COc1cc(OC)cc(c1)/C/1=C/2\C=CC(=N2)/C(=C\2/C=CC(=N2)/C(=C/2\N=C(/C(=C/3\N=C1C=C3)/c1cc(OC)cc(c1)OC)C=C2)/c1cc(OC)cc(c1)[O]([M])C)/c1cc(OC)cc(c1)OC,0.051087618
1802,[M][O]=C(O)O,0.051087201
1803,[M]OC(=O)c1ccc(cc1)c1cc2-c3cc(cc(c3OCCOCCOCCOCCOCCOc2c(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,0.051051259
1804,COc1c2cccc1Cc1cc(cc(c1O)Cc1c(c(Cc3c(c(C2)cc(c3)P(=[O][M])(O)O)O)ccc1)OC)P(=O)(O)O,0.051048636
1805,[M]OC(=O)[C@H](C(C)C)/N=C(/C(=N/[C@H](C(=O)O)C(C)C)/O)\O,0.051032901
1806,[M]/[O]=C\1/C(=C(/c2c(Cl)cc(cc2Cl)Cl)\O)/C(=C(C1([Si](C)(C)C)[Si](C)(C)C)C)C,0.051027298
1807,[M][O]=[S@@](=O)(c1cc2ccc(c(c2c(c1)S(=O)(=O)O)/N=N/c1ccccc1)O)O,0.050998092
1808,COc1c2COCCOCCOCc3c(c(C4=C([C@H](C(=C(c1cc(c2)C)[O]4[M])C)C)C)cc(C)c3)OC,0.050993383
1809,[M]OCc1ccccc1N,0.050970495
1810,[M]/[O]=C(/[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)\C=C(\C(F)(F)F)/O,0.050951898
1811,[M]OC(=O)CC[C@H](C(=O)O)NC(=O)c1ccc(cc1)CCC1=CNC2=C1C(=O)NC(=N2)N,0.050934017
1812,[M][O](Cc1ccc2c(c1)cccc2)CC(=N)C,0.050915062
1813,N#CC(=C1NC(=C(N=C1[N](=O)O)[N](=O)O)[O]([M])C)C#N,0.050903618
1814,COc1ccc(cc1)C1=CC(=NN1)/C(=[O]\[M])/O,0.050838411
1815,[M]O[C@](c1ccccc1)(C#Cc1ccccc1)C,0.050828159
1816,[M]/[O]=C(/c1cc(ccc1O)S(=O)(=O)O)\NN=C1SCCS1,0.050822735
1817,[M]/[O]=C\1/c2ccccc2C(=O)/C1=C(/C(c1ccccc1)c1ccccc1)\O,0.050771773
1818,[M]/[O]=C(/C1=[N](C=CN1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C)\O,0.050763369
1819,[M]O[C@@H](CN1CCN(CCN(CCN(CC1)CC(=O)O)CC(=O)O)CC(=O)O)C,0.050756395
1820,[M]/[O]=C\1/N=C2NC(=O)NC3=NC(=O)NC(=N1)N23,0.050751746
1821,[M]OS(=O)(=O)CCCOc1ccc(cc1Cl)S(=O)(=O)c1ccc(c(c1)Cl)OCCCS(=O)(=O)O,0.050745487
1822,[M][O]=[S@](=O)(C(Cl)(Cl)Cl)O,0.050725162
1823,[M]/[O]=C(/CCN(CC(=O)O)CCN(CC(=O)O)CCC(=O)O)\O,0.050717711
1824,[M]/[O]=C(/c1nc(CN2CCOCCOCCN(CCOCCOCC2)Cc2cccc(n2)C(=O)O)cc(c1)NC(=S)NCCC(=O)O)\O,0.050697088
1825,[M]OCC(COP(=O)(O)O)(OC)OC,0.050690532
1826,[M]/[O]=C(/N(/C(=N/c1ccc(cc1)C)/C(=N\c1ccc(cc1)C)/N(c1ccc(cc1)C)C(=O)O)c1ccc(cc1)C)\O,0.050669372
1827,[M][O]1C(=CC=C1/C(=C\1/C=C/C(=C/NC(C)(C)C)/O1)/c1ccccc1)/C=N/C(C)(C)C,0.050652623
1828,[M]/[O]=C\1/N2CN3C(=O)N4[C@]5([C@]3(C)N3CN6[C@@H]2[C@]2(N1CN1C(=O)N7[C@@]8([C@@]1(C)N(CN2C6=O)C(=O)N8CN1[C@]2(N(C7)C(=O)N6[C@@]2(C)N(C1=O)CN1[C@H]2N(C6)C(=O)N6CN7C(=O)N(C4)[C@]4(N(CN5C3=O)C(=O)N([C@@]74C)CN([C@@H]26)C1=O)C)C)C)O)C,0.050612211
1829,CCOP(=O)(c1ccc(cc1P(c1cc(C)ccc1S(=O)(=O)O[M])c1ccc(cc1)C(C)(C)C)C)OCC,0.050587416
1830,[M]OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,0.050570786
1831,CO[C@H]1CC[C@H](O[C@@H]1C)O[C@H]1[C@H](C)[C@@](O)([C@H](C(=O)O)C)[O]([C@H]([C@]1(C)OC)C[C@@H]1C[C@@H](OC)[C@H]([C@]2(O1)O[C@]([C@@H]([C@H]2C)OC)(C)[C@H]1CC[C@H](O1)[C@H]1CC[C@@H](O1)[C@H]1O[C@](C)(O)[C@@H]([C@H]([C@@H]1C)OC)C)C)[M],0.050546348
1832,[M]O[P@@](=O)(CN1CCN(CC1)CP(=O)(O)O)O,0.050508857
1833,[M]OC(=O)N1CCN(CC/N=C/c2ccccc2O)CCN2[C@@H](c3ccccc3O)[C@@H](N(C2=O)CCN(CCN[C@@H]([C@H]1c1ccccc1O)c1ccccc1O)CC/N=C/c1ccccc1O)c1ccccc1O,0.050500512
1834,[M]OC(=O)c1ccccc1CNCc1ccccn1,0.050471604
1835,COc1c(nccc1OC)C[S@@](C1=Nc2c(N1)cc(cc2)[O](C(F)F)[M])O,0.050463617
1836,CNc1ccc2c(c1C(=O)O)N=C([O]2[M])C[C@H]1O[C@@]2(CC[C@H]1C)O[C@@H]([C@@H](C[C@H]2C)C)[C@@H](C(=O)C1=CC=CN1)C,0.050445497
1837,CO[C@H]([C@@H](N1C(=O)c2c(C1=O)cccc2)C(=O)O[M])C=C,0.050432086
1838,[M]OC(=O)c1cc(cc(c1)Oc1ccc(cc1)C(=O)O)Oc1ccc(cc1)C(=O)O,0.050399005
1839,[M]OC(=O)c1ccc(cc1)c1ccc(cc1)[C@@]([C@@H]1OC(O[C@H]1C(c1ccc(cc1)c1ccc(cc1)C(=O)O)(c1ccc(cc1)c1ccc(cc1)C(=O)O)O)(C)C)(c1ccc(cc1)c1ccc(cc1)C(=O)O)O,0.050377071
1840,COc1ccc(cc1)N/C(=N\[C@H]1CCCC[C@@H]1N/C(=N/c1ccc(cc1)[O]([M])C)/c1ccc(cc1)C(C)(C)C)/c1ccc(cc1)C(C)(C)C,0.05037421
1841,[M]/[O]=C/1\N(c2c(cccc2C(C)C)C(C)C)C(=O)[P@]2(N1c1c(cccc1C(C)C)C(C)C)C(=O)N(C(=O)N2c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C,0.050363779
1842,Cc1ccc(cc1)S(=O)(=O)NC1c2ccccc2[O](c2c1cccc2)[M],0.050360441
1843,[M]OC(=O)c1ccc(cc1)OCC(=O)O,0.050315201
1844,COc1c2Cc3cc(cc(c3OC)Cc3cc(cc(Cc4c(c(Cc1cc(c2)C(=O)O[M])cc(c4)C(=O)O)OC)c3OC)C(=O)O)C(=O)O,0.050311387
1845,[M]/[O]=C(\NC(C)(C)C)/NCCN(CCNP(=O)(c1ccccc1)c1ccccc1)CCNC(=O)NC(C)(C)C,0.050308466
1846,[M]/[O]=C(\c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)/O,0.050307095
1847,O[S@@](=[O][M])(=O)CO,0.050297081
1848,[M][O]=[S@](=O)(c1cc2Cc3cc(cc(c3OCC(=O)O)Cc3cc(cc(Cc4c(c(Cc(c1)c2OCC(=O)O)cc(c4)S(=O)(=O)O)OCC(=O)O)c3OCC(=O)O)S(=O)(=O)O)S(=O)(=O)O)O,0.050296307
1849,COc1c2-c3cc(C)cc4-c5cc(C)cc6-c7cc(cc(-c8c(c(-c9c(c(-c1cc(c2)C)cc(C)c9)[O]([M])CCCOc34)cc(C)c8)OCCCOc56)c7OC)C,0.050272703
1850,OCCN(c1ccc(cc1)/N=N/c1ccc(cc1)[S@@](=[O][M])(=O)O)CCO,0.050270379
1851,[M]/[O]=C\1/c2c3O[Si]4(Oc3ccc2C(=O)c2c1cccc2)(F)Oc1c(O4)ccc2c1C(=O)c1ccccc1C2=O,0.050268412
1852,[M]OC(=O)c1ccc(cc1)S(=O)(=O)NS(c1ccc(cc1)C(=O)O)(O)O,0.050263524
1853,[M]/[O]=C(/C1=NNC(=C1N(=O)=O)C(=O)O)\O,0.050253034
1854,[M]OC(=O)c1ccc(cc1N)N(=O)=O,0.050252199
1855,[M]OC(=O)CN1CCN(CCN(CCN(CC1)CC(=O)O)C[P@@](=O)(CCC(=O)O)O)CC(=O)O,0.050244272
1856,[M]OC(C(F)(F)F)(C(F)(F)F)c1cccc(c1)C,0.050243855
1857,[M]/[O]=C(\c1cc(cc(c1)C(=O)O)c1ccc(cc1)C(=C(c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O)/O,0.050241709
1858,[M]OC(=O)[C@@H]([C@H](C(=O)O)O)O[C@@H](C(=O)O)CC(=O)O,0.050239742
1859,[M]OC(=O)c1cc(Cc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,0.050235152
1860,O/C(=[O]\[M])/[C@@H]1CCC(=O)N1,0.050229609
1861,[M]/[O]=C(\c1cn(CC(=O)O)[cH]c(c1)C(=O)O)/O,0.050197423
1862,[M]OS(=O)(=O)c1cc(c(cc1O)O)S(=O)(=O)O,0.050174236
1863,[M]OC(=O)CCN1CCC[N@@]2CC[N@](CC1)CCCN(CC2)CCC(=O)O,0.050167799
1864,CC[O](CCOCC/N=C(\C(F)(F)F)/C=C(/C(F)(F)F)\O)[M],0.050164402
1865,OC[C@@H]1[C@@H](O[P@@](=O)(O[C@@H](CNC(=O)CC[C@@]2(C)C3=N[C@H]([C@@H]2CC(=O)N)[C@]2(C)N=C([C@H]([C@]2(C)CC(=O)N)CCC(=O)N)/C(=C/2\N=C(/C=C/4\N/C(=C\3/C)/[C@@H](CCC(=O)N)C4(C)C)[C@H]([C@]2(C)CC(=O)N)CCC(=O)N)/C)C)O)[C@H]([C@H]([O]1[M])N1C=Nc2c1cc(C)c(c2)C)O,0.050160825
1866,OC[C@H]([C@@H]([C@@H]([C@H](S(=O)(=O)O[M])O)O)O)O,0.050160527
1867,[M]OC(=O)CN(Cc1cc(O)c(cc1O)CN(CC(=O)O)CC(=O)O)CC(=O)O,0.050133646
1868,[M]OC(=O)c1cc2ccccc2c(c1O)/N=N/c1cc(Cl)c(cc1S(=O)(=O)O)C,0.050105333
1869,[M]/[O]=C(/CN(Cc1cccc(n1)C(=O)O)Cc1cccc(n1)C(=O)O)\O,0.05007565
1870,[M]OC(=O)c1ccc(cc1O)c1cc(C)c(cc1C)c1cc(C)c(cc1C)c1cc(C)c(cc1C)c1ccc(c(c1)O)C(=O)O,0.050071299
1871,[M]OC(=O)c1ccc(cc1)O,0.05005002
1872,COc1c2Cc3cc(cc(c3OC)Cc3cc(cc(Cc4c(c(Cc1cc(c2)C(C)(C)C)cc(c4)C(C)(C)C)OC)c3[O]([M])C)C(C)(C)C)C(C)(C)C,0.050025821
1873,[M]/[O]=C(/c1ccc(cc1)OP1(=NP(=NP(=N1)(Oc1ccc(cc1)C(=O)O)Oc1ccc(cc1)C(=O)O)(Oc1ccc(cc1)C(=O)O)Oc1ccc(cc1)C(=O)O)Oc1ccc(cc1)C(=O)O)\O,0.050024986
1874,OC1=PP=C([O]1[M])P1N(C(=O)C(=O)N1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C,0.050010085
